freq_threshold,binarization_threshold,max_dt_depth,composition_strategy,rule_size,mean_offdiag_iou,max_offdiag_iou,summed_root_volume,domain_root_volume,class_root_volumes,val_accuracy,test_accuracy
0.01,0.05,4,ilp_optimal,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104,0.904153,0.805423
0.01,0.05,5,greedy_cover,93,0.203796,0.513335,84.490816,7.704167,2.228707;25.467005;56.795104,0.908946,0.813397
0.01,0.05,5,ilp_optimal,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104,0.904153,0.805423
0.01,0.05,6,greedy_cover,93,0.203796,0.513335,84.490816,7.704167,2.228707;25.467005;56.795104,0.908946,0.813397
0.01,0.05,6,ilp_optimal,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104,0.904153,0.805423
0.01,0.05,7,greedy_cover,93,0.203796,0.513335,84.490816,7.704167,2.228707;25.467005;56.795104,0.908946,0.813397
0.01,0.05,7,ilp_optimal,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104,0.904153,0.805423
0.01,0.05,8,greedy_cover,93,0.203796,0.513335,84.490816,7.704167,2.228707;25.467005;56.795104,0.908946,0.813397
0.01,0.05,8,ilp_optimal,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104,0.904153,0.805423
0.01,0.05,9,greedy_cover,93,0.203796,0.513335,84.490816,7.704167,2.228707;25.467005;56.795104,0.908946,0.813397
0.01,0.05,9,ilp_optimal,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104,0.904153,0.805423
0.01,0.05,10,greedy_cover,93,0.203796,0.513335,84.490816,7.704167,2.228707;25.467005;56.795104,0.908946,0.813397
0.01,0.05,10,ilp_optimal,94,0.148379,0.443054,88.222734,7.704167,2.555708;28.871922;56.795104,0.904153,0.805423
0.01,0.1,4,greedy_cover,94,0.185185,0.518424,81.275935,7.704167,2.046319;25.748654;53.480961,0.907348,0.805423
0.01,0.1,4,ilp_optimal,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786,0.912141,0.800638
0.01,0.1,5,greedy_cover,94,0.185185,0.518424,81.275935,7.704167,2.046319;25.748654;53.480961,0.907348,0.805423
0.01,0.1,5,ilp_optimal,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786,0.912141,0.800638
0.01,0.1,6,greedy_cover,94,0.185185,0.518424,81.275935,7.704167,2.046319;25.748654;53.480961,0.907348,0.805423
0.01,0.1,6,ilp_optimal,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786,0.912141,0.800638
0.01,0.1,7,greedy_cover,94,0.185185,0.518424,81.275935,7.704167,2.046319;25.748654;53.480961,0.907348,0.805423
0.01,0.1,7,ilp_optimal,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786,0.912141,0.800638
0.01,0.1,8,greedy_cover,94,0.185185,0.518424,81.275935,7.704167,2.046319;25.748654;53.480961,0.907348,0.805423
0.01,0.1,8,ilp_optimal,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786,0.912141,0.800638
0.01,0.1,9,greedy_cover,94,0.185185,0.518424,81.275935,7.704167,2.046319;25.748654;53.480961,0.907348,0.805423
0.01,0.1,9,ilp_optimal,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786,0.912141,0.800638
0.01,0.1,10,greedy_cover,94,0.185185,0.518424,81.275935,7.704167,2.046319;25.748654;53.480961,0.907348,0.805423
0.01,0.1,10,ilp_optimal,89,0.159098,0.475359,70.357269,7.704167,2.555708;29.715774;38.085786,0.912141,0.800638
0.02,0.005,4,greedy_cover,101,0.208393,0.508245,90.602189,7.704167,9.365421;24.833444;56.403324,0.918530,0.814992
0.02,0.005,4,ilp_optimal,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324,0.913738,0.808612
0.02,0.005,5,greedy_cover,101,0.208393,0.508245,90.602189,7.704167,9.365421;24.833444;56.403324,0.918530,0.814992
0.02,0.005,5,ilp_optimal,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324,0.913738,0.808612
0.02,0.005,6,greedy_cover,101,0.208393,0.508245,90.602189,7.704167,9.365421;24.833444;56.403324,0.918530,0.814992
0.02,0.005,6,ilp_optimal,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324,0.913738,0.808612
0.02,0.005,7,greedy_cover,101,0.208393,0.508245,90.602189,7.704167,9.365421;24.833444;56.403324,0.918530,0.814992
0.02,0.005,7,ilp_optimal,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324,0.913738,0.808612
0.02,0.005,8,greedy_cover,101,0.208393,0.508245,90.602189,7.704167,9.365421;24.833444;56.403324,0.918530,0.814992
0.02,0.005,8,ilp_optimal,102,0.157417,0.438014,94.334107,7.704167,9.692423;28.238361;56.403324,0.913738,0.808612
0.02,0.005,9,greedy_cover,101,0.208393,0.508245,90.602189,7.704167,9.365421;24.833444;56.403324,0.918530,0.814992
